,1w,2w,1m,2m,3m,6m,9m,12m
2014-01-02,0.183,0.194,0.21400000000000002,0.251,0.28400000000000003,0.387,0.47800000000000004,0.555
2014-01-03,0.17700000000000002,0.188,0.20800000000000002,0.24700000000000003,0.28,0.381,0.47400000000000003,0.551
2014-01-06,0.169,0.182,0.20400000000000001,0.24400000000000002,0.28,0.38,0.47400000000000003,0.55
2014-01-07,0.165,0.18,0.202,0.24200000000000002,0.28,0.381,0.47300000000000003,0.55
2014-01-08,0.171,0.184,0.203,0.24300000000000002,0.281,0.383,0.47700000000000004,0.552
2014-01-09,0.17300000000000001,0.185,0.20500000000000002,0.24500000000000002,0.28200000000000003,0.388,0.48100000000000004,0.557
2014-01-10,0.17500000000000002,0.186,0.20800000000000002,0.24700000000000003,0.28200000000000003,0.39,0.48100000000000004,0.557
2014-01-13,0.17500000000000002,0.186,0.20700000000000002,0.24700000000000003,0.28200000000000003,0.389,0.48100000000000004,0.557
2014-01-14,0.17400000000000002,0.185,0.20800000000000002,0.24700000000000003,0.28200000000000003,0.39,0.48200000000000004,0.557
2014-01-15,0.184,0.193,0.21600000000000003,0.255,0.29000000000000004,0.397,0.48900000000000005,0.5650000000000001
2014-01-16,0.21000000000000002,0.21800000000000003,0.234,0.267,0.3,0.405,0.49700000000000005,0.572
2014-01-17,0.227,0.233,0.24300000000000002,0.27,0.302,0.40800000000000003,0.49800000000000005,0.571
2014-01-20,0.221,0.23,0.24000000000000002,0.27,0.302,0.40800000000000003,0.49700000000000005,0.57
2014-01-21,0.222,0.231,0.24200000000000002,0.271,0.302,0.40900000000000003,0.5,0.571
2014-01-22,0.21600000000000003,0.228,0.24100000000000002,0.27,0.301,0.406,0.49600000000000005,0.57
2014-01-23,0.21300000000000002,0.226,0.24000000000000002,0.269,0.3,0.404,0.49500000000000005,0.57
2014-01-24,0.21100000000000002,0.222,0.23800000000000002,0.269,0.3,0.401,0.49100000000000005,0.5670000000000001
2014-01-27,0.21000000000000002,0.222,0.23900000000000002,0.269,0.3,0.404,0.49300000000000005,0.5690000000000001
2014-01-28,0.21300000000000002,0.223,0.24100000000000002,0.271,0.301,0.404,0.49200000000000005,0.5690000000000001
2014-01-29,0.20700000000000002,0.21800000000000003,0.23700000000000002,0.268,0.3,0.402,0.49000000000000005,0.5660000000000001
2014-01-30,0.191,0.20600000000000002,0.232,0.265,0.29800000000000004,0.399,0.48700000000000004,0.562
2014-01-31,0.188,0.202,0.23,0.262,0.29600000000000004,0.396,0.48300000000000004,0.559
2014-02-03,0.184,0.197,0.225,0.254,0.29000000000000004,0.387,0.47200000000000003,0.549
2014-02-04,0.182,0.196,0.222,0.253,0.28800000000000003,0.387,0.46900000000000003,0.548
2014-02-05,0.189,0.201,0.223,0.252,0.28700000000000003,0.386,0.47,0.548
2014-02-06,0.186,0.196,0.221,0.251,0.28600000000000003,0.385,0.468,0.547
2014-02-07,0.19,0.202,0.229,0.256,0.29100000000000004,0.391,0.47400000000000003,0.552
2014-02-10,0.192,0.203,0.23,0.257,0.29100000000000004,0.39,0.47400000000000003,0.551
2014-02-11,0.193,0.203,0.23,0.258,0.29100000000000004,0.391,0.47500000000000003,0.554
2014-02-12,0.198,0.20600000000000002,0.23,0.257,0.29100000000000004,0.39,0.47500000000000003,0.552
2014-02-13,0.189,0.2,0.225,0.253,0.28800000000000003,0.387,0.46900000000000003,0.547
2014-02-14,0.19,0.201,0.226,0.251,0.28700000000000003,0.386,0.46900000000000003,0.548
2014-02-17,0.188,0.199,0.224,0.251,0.28700000000000003,0.386,0.468,0.547
2014-02-18,0.19,0.201,0.224,0.251,0.28800000000000003,0.386,0.468,0.547
2014-02-19,0.191,0.201,0.224,0.251,0.28700000000000003,0.386,0.466,0.547
2014-02-20,0.192,0.197,0.221,0.24900000000000003,0.28600000000000003,0.384,0.464,0.545
2014-02-21,0.192,0.2,0.222,0.251,0.28700000000000003,0.384,0.464,0.547
2014-02-24,0.191,0.199,0.221,0.252,0.28800000000000003,0.384,0.466,0.549
2014-02-25,0.192,0.2,0.222,0.252,0.28900000000000003,0.387,0.47,0.553
2014-02-26,0.194,0.2,0.222,0.251,0.28800000000000003,0.387,0.46900000000000003,0.551
2014-02-27,0.187,0.196,0.21900000000000003,0.24900000000000003,0.28600000000000003,0.384,0.466,0.549
2014-02-28,0.184,0.194,0.21800000000000003,0.25,0.28600000000000003,0.384,0.467,0.549
2014-03-03,0.184,0.194,0.22,0.252,0.28800000000000003,0.387,0.47100000000000003,0.554
2014-03-04,0.183,0.194,0.21800000000000003,0.25,0.28700000000000003,0.386,0.46900000000000003,0.552
2014-03-05,0.182,0.194,0.21600000000000003,0.24900000000000003,0.28600000000000003,0.384,0.468,0.551
2014-03-06,0.181,0.193,0.21600000000000003,0.24900000000000003,0.28700000000000003,0.384,0.468,0.551
2014-03-07,0.191,0.203,0.229,0.261,0.29900000000000004,0.398,0.48400000000000004,0.5670000000000001
2014-03-10,0.2,0.21000000000000002,0.23600000000000002,0.27,0.307,0.40800000000000003,0.49400000000000005,0.578
2014-03-11,0.194,0.20600000000000002,0.233,0.268,0.304,0.405,0.49200000000000005,0.575
2014-03-12,0.195,0.20800000000000002,0.233,0.268,0.304,0.405,0.49000000000000005,0.574
2014-03-13,0.192,0.20400000000000001,0.23,0.267,0.304,0.405,0.49000000000000005,0.573
2014-03-14,0.191,0.203,0.23,0.265,0.303,0.402,0.48700000000000004,0.57
2014-03-17,0.191,0.20500000000000002,0.232,0.268,0.305,0.40700000000000003,0.49200000000000005,0.576
2014-03-18,0.194,0.20800000000000002,0.234,0.271,0.309,0.41,0.49700000000000005,0.582
2014-03-19,0.195,0.21000000000000002,0.23700000000000002,0.274,0.312,0.41400000000000003,0.5,0.585
2014-03-20,0.196,0.21,0.23800000000000002,0.276,0.313,0.41600000000000004,0.504,0.591
2014-03-21,0.20400000000000001,0.21000000000000002,0.23900000000000002,0.279,0.315,0.42000000000000004,0.507,0.593
2014-03-24,0.20900000000000002,0.21300000000000002,0.24200000000000002,0.281,0.32,0.42500000000000004,0.513,0.6
2014-03-25,0.21000000000000002,0.21500000000000002,0.24100000000000002,0.281,0.318,0.42200000000000004,0.511,0.598
2014-03-26,0.20600000000000002,0.21100000000000002,0.23700000000000002,0.277,0.315,0.41900000000000004,0.506,0.591
2014-03-27,0.20800000000000002,0.21100000000000002,0.23700000000000002,0.277,0.313,0.41600000000000004,0.501,0.587
2014-03-28,0.199,0.20600000000000002,0.233,0.276,0.31,0.41400000000000003,0.49800000000000005,0.585
2014-03-31,0.199,0.20900000000000002,0.23700000000000002,0.278,0.313,0.41800000000000004,0.501,0.59
2014-04-01,0.196,0.20500000000000002,0.23500000000000001,0.277,0.313,0.41800000000000004,0.5,0.591
2014-04-02,0.20500000000000002,0.21400000000000002,0.24200000000000002,0.281,0.319,0.42300000000000004,0.507,0.599
2014-04-03,0.20400000000000001,0.21500000000000002,0.24000000000000002,0.281,0.319,0.42300000000000004,0.508,0.6
2014-04-04,0.21200000000000002,0.223,0.24900000000000003,0.28700000000000003,0.325,0.42700000000000005,0.512,0.603
2014-04-07,0.215,0.227,0.252,0.29,0.327,0.427,0.509,0.6
2014-04-08,0.21400000000000002,0.226,0.251,0.28800000000000003,0.327,0.42600000000000005,0.509,0.599
2014-04-09,0.21500000000000002,0.226,0.251,0.28900000000000003,0.327,0.42700000000000005,0.509,0.599
2014-04-10,0.218,0.227,0.251,0.289,0.327,0.426,0.509,0.599
2014-04-11,0.223,0.231,0.253,0.29,0.328,0.428,0.511,0.601
2014-04-14,0.224,0.23,0.252,0.29,0.328,0.427,0.509,0.599
2014-04-15,0.225,0.232,0.251,0.289,0.327,0.426,0.508,0.598
2014-04-16,0.218,0.228,0.248,0.28700000000000003,0.327,0.427,0.508,0.598
2014-04-17,0.213,0.224,0.246,0.28600000000000003,0.328,0.426,0.509,0.599
2014-04-22,0.219,0.225,0.248,0.28800000000000003,0.329,0.429,0.512,0.603
2014-04-23,0.227,0.231,0.253,0.293,0.332,0.432,0.516,0.606
2014-04-24,0.23900000000000002,0.243,0.261,0.297,0.337,0.437,0.521,0.611
2014-04-25,0.252,0.253,0.269,0.304,0.34400000000000003,0.443,0.528,0.619
2014-04-28,0.259,0.257,0.269,0.305,0.34500000000000003,0.444,0.529,0.62
2014-04-29,0.253,0.255,0.269,0.308,0.34700000000000003,0.444,0.529,0.621
2014-04-30,0.234,0.23900000000000002,0.261,0.299,0.339,0.438,0.522,0.614
2014-05-02,0.225,0.234,0.258,0.297,0.336,0.437,0.522,0.612
2014-05-05,0.22,0.231,0.258,0.297,0.336,0.437,0.522,0.613
2014-05-06,0.219,0.231,0.257,0.297,0.337,0.438,0.524,0.613
2014-05-07,0.23700000000000002,0.243,0.262,0.3,0.338,0.437,0.525,0.614
2014-05-08,0.23600000000000002,0.241,0.262,0.299,0.338,0.438,0.527,0.617
2014-05-09,0.242,0.248,0.266,0.3,0.336,0.431,0.516,0.606
2014-05-12,0.241,0.247,0.267,0.3,0.335,0.43,0.516,0.607
2014-05-13,0.241,0.249,0.268,0.301,0.335,0.429,0.514,0.605
2014-05-14,0.232,0.241,0.263,0.295,0.328,0.421,0.507,0.596
2014-05-15,0.23,0.242,0.259,0.28700000000000003,0.321,0.41300000000000003,0.498,0.587
2014-05-16,0.23,0.242,0.257,0.28600000000000003,0.318,0.41,0.497,0.586
2014-05-19,0.232,0.242,0.257,0.28700000000000003,0.318,0.40900000000000003,0.497,0.586
2014-05-20,0.231,0.242,0.256,0.28600000000000003,0.318,0.40700000000000003,0.496,0.585
2014-05-21,0.242,0.251,0.259,0.289,0.319,0.40700000000000003,0.495,0.583
